"English","Compound","B1","B2","B3","B4","B5","L1","L2","L3","L4","L5","Izaki Reading","Izaki Reading","Reading
(obsolete)"
"Separate school","??","?","?","","","","byes","","","","","byes","byes","bje??aku"
"Separate issue","??","?","?","","","","byes","ho","","","","byesho","byesho","bje??o"
"branch family","??","?","?","","","","byes","ka","","","","byeska","byeska","bjeska"
"Special course","??","?","?","","","","byes","ka","","","","byeska","byeska","bjeska"
"Separate volume","??","?","?","","","","byes","kwen","","","","byeskwen","byeskwen","bjeskan"
"Separate note","??","?","?","","","","byes","ki","","","","byeski","byeski","bjeski"
"Separate line","??","?","?","","","","byes","k?/gy?n/sh?n","","","","byesk?/gy?n/sh?n","byesk?/gy?n/sh?n","bjeskjo?"
"other words","??","?","?","","","","byes","yon","","","","byesyon","byesshyon","bjeskon"
"Another matter","??","?","?","","","","byes","ken","","","","byesken","byesken","bjeskon"
"Annex","??","?","?","","","","byes","kan","","","","byeskan","byeskan","bjeskwan"
"separate payment","??","?","?","","","","byes","nas","","","","byesnas","byesnas","bjesnau"
"Separate flight","??","?","?","","","","byes","b?n","","","","byesb?n","byesp?n","bjespi?n"
"Schedule","??","?","?","","","","byes","py?","","","","byespy?","byespy?","bjespjo"
"Separate edition","??","?","?","","","","byes","hon/pon","","","","byeshon/pon","byeshon/pon","bjespon"
"Different surname","??","?","?","","","","byes","sei","","","","byessei","byessei","bjessei"
"Separate delivery","??","?","?","","","","byes","s?","","","","byess?","byess?","bjesso?"
"Attachment","??","?","?","","","","byes","zhi","","","","byeszhi","byesshi","bjes?i"
"Bessho","??","?","?","","","","byes","sho","","","","byessho","byessho","bjes?o"
"Second home","??","?","?","","","","byes","taku","","","","byestaku","byestaku","bjestaku"
"Special condition","??","?","?","","","","byes","zh?n","","","","byeszh?n","byessh?n","bje??a?n"
"Specially made","??","?","?","","","","byes","tsei","","","","byestsei","byettsei","bje??ei"
"Separate transmission","??","?","?","","","","byes","den","","","","byesden","byesten","bje??en"
"farewell address","??","?","?","","","","byes","ji","","","","byesji","byecchi","bje??i"
"Separate article","??","?","?","","","","byes","j?","","","","byesj?","byecch?","bje??o"
"Branch temple","??","?","?","","","","byes","win","","","","byeswin","byesswin","bjeswin"
"villa","??","?","?","","","","byes","wya","","","","byeswya","byesswya","bjeswja"
"Separately listed","??","?","?","","","","byes","kei","","","","byeskei","byeskei","bjeskei"
"Separate building","??","?","?","","","","byes","d?n","","","","byesd?n","byest?n","bjes?"
"Alias","??","?","?","","","","byes","ts?n","","","","byests?n","byetts?n","bjes?o?"
"Separate chapter","??","?","?","","","","byes","ts?n","","","","byests?n","byetts?n","bjescho?n"
"different taste","??","?","?","","","","byes","swi","","","","byesswi","byesswi","bjes?"
"villa","??","?","?","","","","byes","che","","","","byesche","byecche","bje??oi"
"sick","??","?","?","","","","by?","ju","","","","by?ju","by?ju","bjo??u"
"suffering from illness","??","?","?","","","","by?","ku","","","","by?ku","by?ku","bjo?gu"
"etiology","??","?","?","","","","by?","in","","","","by?in","by?in","bjo?in"
"disease","??","?","?","","","","by?","ki","","","","by?ki","by?ki","bjo?ki"
"Sick leave","??","?","?","","","","by?","kes","","","","by?kes","by?kes","bjo?kjes"
"disease root","??","?","?","","","","by?","kon","","","","by?kon","by?kon","bjo?kon"
"After illness","??","?","?","","","","by?","hou","","","","by?hou","by?hou","bjo?ku?"
"sickness","??","?","?","","","","by?","ma","","","","by?ma","by?ma","bjo?ma"
"Lesion","??","?","?","","","","by?","hen","","","","by?hen","by?hen","bjo?pen"
"Medical history","??","?","?","","","","by?","reki","","","","by?reki","by?reki","bjo?reku"
"pathology","??","?","?","","","","by?","ri","","","","by?ri","by?ri","bjo?rihaku"
"disease phase","??","?","?","","","","by?","s?n","","","","by?s?n","by?s?n","bjo?so?"
"hospital ward","??","?","?","","","","by?","sha","","","","by?sha","by?sha","bjo??a"
"sickness","??","?","?","","","","by?","shin","","","","by?shin","by?shin","bjo??in"
"pathology","??","?","?","","","","by?","shis","","","","by?shis","by?shis","bjo??is"
"disease","??","?","?","","","","by?","sh?n","","","","by?sh?n","by?sh?n","bjo??o?"
"Pathological condition","??","?","?","","","","by?","tai","","","","by?tai","by?tai","bjo?tai"
"disease poison","??","?","?","","","","by?","toku","","","","by?toku","by?toku","bjo?toku"
"Disease progression","??","?","?","","","","by?","se","","","","by?se","by?se","bjo?tse"
"diseased body","??","?","?","","","","by?","tai","","","","by?tai","by?tai","bjo??e"
"hospital","??","?","?","","","","by?","win","","","","by?win","by?win","bjo?win"
"sick monk","??","?","?","","","","by?","s?n","","","","by?s?n","by?s?n","bjo?zo?"
"lesion","??","?","?","","","","by?","zau","","","","by?zau","by?zau","bjo??"
"Illness","??","?","?","","","","by?","hei","","","","by?hei","by?hei","bjo??"
"Died of illness","??","?","?","","","","by?","pos","","","","by?pos","by?pos","bjo?pos"
"pathological obsession","??","?","?","","","","by?","peku","","","","by?peku","by?peku","bjo??"
"sick in bed","??","?","?","","","","by?","","","","","by?","by?","bjo??"
"disease germs","??","?","?","","","","by?","kin","","","","by?kin","by?kin","bjo?hin"
"pests","??","?","?","","","","by?","ts?n","","","","by?ts?n","by?ts?n","bjo??uhwai"
"disease awareness","??","?","?","","","","by?","shiki","","","","by?shiki","by?shiki","bjo??iku"
"Club fees","??","?","?","","","","bu","hi","","","","buhi","buhi","buhi"
"subordinate","??","?","?","","","","bu","ka","","","","buka","buka","buka"
"Department","??","?","?","","","","bu","ka","","","","buka","buka","bukwa"
"members","??","?","?","","","","bu","min","","","","bumin","bumin","bumin"
"part","??","?","?","","","","bu","myen","","","","bumyen","bumyen","bumjen"
"Department","??","?","?","","","","bu","mun","","","","bumun","bumun","bumun"
"coat of arms","??","?","?","","","","mun","fuku","","","","munfuku","munfuku","bunhuku"
"tricks","??","?","?","","","","mun","ryaku","","","","munryaku","munlyaku","bunljaku"
"parts","??","?","?","","","","bu","pin","","","","bupin","bupin","bupin"
"material things","??","?","?","","","","mus","?i","","","","mus?i","mus?i","bus?i"
"Buddhism","??","?","?","","","","pus","","","","","pus","pus","bu??aku"
"French-Japanese","??","?","?","","","","pus","hwa","","","","pushwa","pushwa","bu??wa"
"French translation","??","?","?","","","","pus","yoki","","","","pusyoki","pusshyoki","bu??aki"
"Materialistic desires","??","?","?","","","","mus","yoku","","","","musyoku","musshyoku","bu??oku"
"Buddhist paintings","??","?","?","","","","pus","ka","","","","puska","puska","buskaku"
"Buddhism","??","?","?","","","","pus","kyau","","","","puskyau","puskyau","buskjo?"
"French","??","?","?","","","","pus","go","","","","pusgo","pusko","busko"
"Deceased","??","?","?","","","","mus","ko","","","","musko","musko","busko"
"property rights","??","?","?","","","","mus","kwon","","","","muskwon","muskwon","buskon"
"Buddhist altar equipment","??","?","?","","","","pus","gu","","","","pusgu","pusku","busku"
"French Army","??","?","?","","","","pus","gun","","","","pusgun","puskun","buskun"
"nirvana","??","?","?","","","","pus","ka","","","","puska","puska","buskwa"
"Buddha's Light","??","?","?","","","","pus","kw?","","","","puskw?","puskw?","buskwo?"
"physics","??","?","?","","","","mus","ri","","","","musri","musli","busli"
"physics","??","?","?","","","","mus","ri","","","","musri","musli","buslihaku"
"French territory","??","?","?","","","","pus","ry?n","","","","pusry?n","pusly?n","buslja?n"
"quantity","??","?","?","","","","mus","ry?n","","","","musry?n","musly?n","busljo"
"Buddhist ties","??","?","?","","","","pus","en","","","","pusen","pussen","busljuku"
"French Literature","??","?","?","","","","pus","mun","","","","pusmun","pusmun","busmun"
"Buddhist monk","??","?","?","","","","pus","mun","","","","pusmun","pusmun","busmun"
"Payment in kind","??","?","?","","","","mus","nas","","","","musnas","musnas","busnau"
"Buddha nature","??","?","?","","","","pus","sei","","","","pussei","pussei","bussei"
"Physical properties","??","?","?","","","","mus","sei","","","","mussei","mussei","bussei"
"Buddhist teachings","??","?","?","","","","pus","ses","","","","pusses","pusses","busses"
"Buddhist ancestor","??","?","?","","","","pus","so","","","","pusso","pusso","busso"
"Buddhist memorial service","??","?","?","","","","pus","tsi","","","","pustsi","puttsi","bus?i"
"Buddhist sculptor","??","?","?","","","","pus","shi","","","","pusshi","pusshi","bus?i"
"Buddhist","??","?","?","","","","pus","shiki","","","","pusshiki","pusshiki","bus?iki"
"Buddha and gods","??","?","?","","","","pus","shin/jin","","","","pusshin/jin","pusshin/jin","bus?in"
"fetish","??","?","?","","","","mus","shin/jin","","","","musshin/jin","musshin/jin","bus?in"
"Buddha's body","??","?","?","","","","pus","shin","","","","pusshin","pusshin","bus?in"
"material","??","?","?","","","","mus","shis","","","","musshis","musshis","bus?is"
"Buddhist books","??","?","?","","","","pus","sho","","","","pussho","pussho","bus?o"
"evidence","??","?","?","","","","mus","sh?","","","","mussh?","mussh?","bus?o?"
"Buddhist temple","??","?","?","","","","pus","d?n","","","","pusd?n","pust?n","busta?n"
"pagoda","??","?","?","","","","pus","tais","","","","pustais","pustais","busta?n"
"enemy of Buddhism","??","?","?","","","","pus","toki","","","","pustoki","pustoki","busteku"
"Buddhist temple","??","?","?","","","","pus","den","","","","pusden","pusten","busten"
"Buddhist scriptures","??","?","?","","","","pus","tyun","","","","pustyun","pustyun","busten"
"Buddha","??","?","?","","","","pus","tyen","","","","pustyen","pustyen","bustjen"
"Buddhism","??","?","?","","","","pus","d?","","","","pusd?","pust?","busto?"
"object","??","?","?","","","","mus","tai","","","","mustai","mustai","bu??e"
"Buddha body","??","?","?","","","","pus","tai","","","","pustai","pustai","bu??e"
"before the Buddha","??","?","?","","","","pus","?en","","","","pus?en","pus?en","bu??en"
"Buddhist temple","??","?","?","","","","pus","ji","","","","pusji","pucchi","bu??i"
"material circumstances","??","?","?","","","","mus","j?n","","","","musj?n","mucch?n","bu??o?"
"Buddha head","??","?","?","","","","pus","tu","","","","pustu","pustu","bustu"
"controversy","??","?","?","","","","mus","wi","","","","muswi","musswi","buswi"
"Buddhist monk","??","?","?","","","","pus","s?n","","","","puss?n","puss?n","bu??o?"
"physical phenomenon","??","?","?","","","","mus","z?n","","","","musz?n","mutts?n","bus?a?n"
"French","??","?","?","","","","pus","zhin","","","","puszhin","pusshin","bus?in"
"Buddha's Death Day","??","?","?","","","","pus","myes","","","","pusmyes","pusmyes","busmjes"
"Buddhahood","??","?","?","","","","pus","t?n","","","","pust?n","pust?n","bus?"
"dangerous","??","?","?","","","","mus","sou","","","","mussou","mussou","bus?"
"club room","??","?","?","","","","bu","shis","","","","bushis","bushis","bu?is"
"radical","??","?","?","","","","bu","shu","","","","bushu","bushu","bu?u"
"troops","??","?","?","","","","bu","tai","","","","butai","butai","butai"
"manager","??","?","?","","","","bu","ch?n","","","","buch?n","buch?n","bu?a?n"
"Materials","??","?","?","","","","bu","zai","","","","buzai","buzai","buzai"
"crowd","??","?","?","","","","bu","ch?n","","","","buch?n","buch?n","bu?u?"
"general","??","?","?","","","","bu","sh?","","","","bush?","bush?","bu?o?"
"Imposing","??","?","?","","","","d?n","","","","","d?n","d?n","da?n?"
"Hall","??","?","?","","","","d?n","?i","","","","d?n?i","d?n?i","da?n?i"
"Party dues","??","?","?","","","","t?n","hi","","","","t?nhi","t?nhi","da?nhi"
"party interest","??","?","?","","","","t?n","ri","","","","t?nri","t?nli","da?nli"
"Party strategy","??","?","?","","","","t?n","ryaku","","","","t?nryaku","t?nlyaku","da?nljaku"
"Party name","??","?","?","","","","t?n","mei/my?n","","","","t?nmei/my?n","t?nmei/my?n","da?nmei"
"Inside the hall","??","?","?","","","","d?n","nae","","","","d?nnae","d?nnae","da?nnae"
"Party affiliation","??","?","?","","","","t?n","swoku","","","","t?nswoku","t?nswoku","da?nseki"
"Party rules","??","?","?","","","","t?n","soku","","","","t?nsoku","t?nsoku","da?nsuku"
"Hall","??","?","?","","","","d?n","sha","","","","d?nsha","d?nsha","da?n?a"
"Party history","??","?","?","","","","t?n","shi","","","","t?nshi","t?nshi","da?n?i"
"head of the hall","??","?","?","","","","d?n","shu","","","","d?nshu","d?nshu","da?n?u"
"temple tower","??","?","?","","","","d?n","tais","","","","d?ntais","d?ntais","da?nta?n"
"Party strength","??","?","?","","","","t?n","se","","","","t?nse","t?nse","da?ntse"
"Temple","??","?","?","","","","d?n","u","","","","d?nu","d?nnu","da?nu"
"outside the party","??","?","?","","","","t?n","wai","","","","t?nwai","t?nnwai","da?nwai"
"Party discussions","??","?","?","","","","t?n","wi","","","","t?nwi","t?nnwi","da?nwi"
"Party member","??","?","?","","","","t?n","zhin","","","","t?nzhin","t?nzhin","da?n?in"
"Telephone call","??","?","?","","","","da","dyen","","","","dadyen","dadyen","dadjen"
"table top","??","?","?","","","","tai","?i","","","","tai?i","tai?i","dae?i"
"speech","??","?","?","","","","tai","ji","","","","taiji","taiji","dae?i"
"Under the table","??","?","?","","","","tai","ka","","","","taika","taika","daeka"
"cabinet","??","?","?","","","","tai","kaku","","","","taikaku","taikaku","daekaku"
"trapezoid","??","?","?","","","","tai","kei/ky?n","","","","taikei/ky?n","taikei/ky?n","daekjo?n"
"pedestal","??","?","?","","","","tai","pan","","","","taipan","taipan","daepan"
"typhoon","??","?","?","","","","tai","p?n","","","","taip?n","taip?n","daepu?n"
"trolley","??","?","?","","","","tai","sha","","","","taisha","taisha","dae?a"
"Mount","??","?","?","","","","tai","zhi","","","","taizhi","taizhi","dae?i"
"plateau","??","?","?","","","","tai","tsi","","","","taitsi","taitsi","dae?i"
"Hit","??","?","?","","","","da","geki","","","","dageki","dageki","dahjeku"
"Alternatives","??","?","?","","","","","an","","","","an","an","daian"
"Daian","??","?","?","","","","dai","an","","","","daian","daian","daian"
"stool","??","?","?","","","","dai","b?n","","","","daib?n","daib?n","daibi?n"
"Large valve","??","?","?","","","","dai","byen","","","","daibyen","daibyen","daibjen"
"serious illness","??","?","?","","","","dai","by?","","","","daiby?","daiby?","daibjo?"
"most","??","?","?","","","","dai","bu","","","","daibu","daibu","daibu"
"Family crest","??","?","?","","","","","mun","","","","mun","mun","daibun"
"Large crest","??","?","?","","","","dai","mun","","","","daimun","daimun","daibun"
"pinch hitter","??","?","?","","","","","da","","","","da","da","daida"
"Great degree","??","?","?","","","","dai","do","","","","daido","daido","daido"
"Great sword","??","?","?","","","","dai","tau","","","","daitau","daitau","daido"
"Encyclopedia","??","?","?","","","","dai","?en","","","","dai?en","dai?en","dai?en"
"big row","??","?","?","","","","dai","k?/gy?n/sh?n","","","","daik?/gy?n/sh?n","daik?/gy?n/sh?n","daigjo?"
"big words","??","?","?","","","","dai","yon","","","","daiyon","daiyon","daigon"
"Dagu","??","?","?","","","","dai","yu","","","","daiyu","daiyu","daigu"
"large cup","??","?","?","","","","dai","pai","","","","daipai","daipai","daihai"
"university","??","?","?","","","","dai","","","","","dai","dai","daihaku"
"large army","??","?","?","","","","dai","p?n","","","","daip?n","daip?n","daihei"
"compensation","??","?","?","","","","","pan","","","","pan","pan","daihen"
"Compensatory leave","??","?","?","","","","","hyu","","","","hyu","hyu","daihju"
"big call","??","?","?","","","","dai","ho","","","","daiho","daiho","daiho"
"Substitute","??","?","?","","","","","yoki","","","","yoki","yoki","daijaku"
"Important Role","??","?","?","","","","dai","yoki","","","","daiyoki","daiyoki","daijaku"
"Great promise","??","?","?","","","","dai","yaku","","","","daiyaku","daiyaku","daijaku"
"Compendium","??","?","?","","","","dai","y?","","","","daiy?","daiy?","daijo?"
"ocean","??","?","?","","","","dai","y?n","","","","daiy?n","daiy?n","daijo?n"
"greed","??","?","?","","","","dai","yoku","","","","daiyoku","daiyoku","daijoku"
"landlord","??","?","?","","","","dai","ka","","","","daika","daika","daika"
"Substitute lecturer","??","?","?","","","","","k?n","","","","k?n","k?n","daika?n"
"Daikaku","??","?","?","","","","dai","kaku","","","","daikaku","daikaku","daikaku"
